,Año,Semana,Ubigeo,Casos
512,2021,11,150111,0.0
513,2021,11,150112,0.0
514,2021,11,150113,0.0
515,2021,11,150114,1.0
516,2021,11,70104,0.0
517,2021,11,70105,0.0
518,2021,11,150115,0.0
519,2021,11,150101,59.0
520,2021,11,150116,0.0
521,2021,11,150117,0.0
522,2021,11,150118,17.0
523,2021,11,150119,0.0
524,2021,11,150120,0.0
525,2021,11,70107,1.0
526,2021,11,150122,0.0
527,2021,11,150123,0.0
528,2021,11,150124,0.0
529,2021,11,150121,0.0
530,2021,11,150125,1.0
531,2021,11,150126,0.0
532,2021,11,150127,0.0
533,2021,11,150128,0.0
534,2021,11,150129,0.0
535,2021,11,150130,0.0
536,2021,11,150131,0.0
537,2021,11,150132,3.0
538,2021,11,150133,1.0
539,2021,11,150134,0.0
540,2021,11,150135,0.0
541,2021,11,150136,0.0
542,2021,11,150137,0.0
543,2021,11,150138,0.0
544,2021,11,150139,0.0
545,2021,11,150140,0.0
546,2021,11,150141,0.0
547,2021,11,70106,0.0
548,2021,11,150142,0.0
549,2021,11,150143,1.0
550,2021,12,150102,0.0
551,2021,12,150103,4.0
552,2021,12,150104,0.0
553,2021,12,70102,0.0
554,2021,12,150105,0.0
555,2021,12,70101,0.0
556,2021,12,150106,10.0
557,2021,12,70103,0.0
558,2021,12,150107,0.0
559,2021,12,150108,0.0
560,2021,12,150109,0.0
561,2021,12,150110,0.0
562,2021,12,150111,0.0
563,2021,12,150112,0.0
564,2021,12,150113,0.0
565,2021,12,150114,0.0
566,2021,12,70104,0.0
567,2021,12,70105,0.0
568,2021,12,150115,1.0
569,2021,12,150101,33.0
570,2021,12,150116,0.0
571,2021,12,150117,2.0
572,2021,12,150118,44.0
573,2021,12,150119,0.0
574,2021,12,150120,0.0
575,2021,12,70107,2.0
576,2021,12,150122,0.0
577,2021,12,150123,0.0
578,2021,12,150124,0.0
579,2021,12,150121,0.0
580,2021,12,150125,12.0
581,2021,12,150126,0.0
582,2021,12,150127,0.0
583,2021,12,150128,0.0
584,2021,12,150129,0.0
585,2021,12,150130,0.0
586,2021,12,150131,0.0
587,2021,12,150132,2.0
588,2021,12,150133,0.0
589,2021,12,150134,0.0
590,2021,12,150135,0.0
591,2021,12,150136,0.0
592,2021,12,150137,0.0
593,2021,12,150138,0.0
594,2021,12,150139,0.0
595,2021,12,150140,1.0
596,2021,12,150141,0.0
