Año,Mes,Semana del mes,Semana,Ubigeo,P129G,P142A,P172C_1,P172C_2,P129B,P172B_1,P172B_2,P172D,P172G,P908_5,P908_6,P908_7,P908_8,P908_9,P910_1,P910_2,P910_3,P910_4
2021,1,4,4,150105,,,,,,,,,,,,,,,,,,
2021,1,4,4,70101,,,,,,,,,,,,,,,,,,
2021,1,4,4,150106,,,,,,,,,,,,,,,,,,
2021,1,4,4,70103,,,,,,,,,,,,,,,,,,
2021,1,4,4,150107,,,,,,,,,,,,,,,,,,
2021,1,4,4,150108,,,,,,,,,,,,,,,,,,
2021,1,4,4,150109,,,,,,,,,,,,,,,,,,
2021,1,4,4,150110,,,,,,,,,,,,,,,,,,
2021,1,4,4,150111,,,,,,,,,,,,,,,,,,
2021,1,4,4,150112,,,,,,,,,,,,,,,,,,
2021,1,4,4,150113,,,,,,,,,,,,,,,,,,
2021,1,4,4,150114,,,,,,,,,,,,,,,,,,
2021,1,4,4,70104,,,,,,,,,,,,,,,,,,
2021,1,4,4,70105,,,,,,,,,,,,,,,,,,
2021,1,4,4,150115,,,,,,,,,,,,,,,,,,
2021,1,4,4,150101,,,,,,,,,,,,,,,,,,
2021,1,4,4,150116,,,,,,,,,,,,,,,,,,
2021,1,4,4,150117,,,,,,,,,,,,,,,,,,
2021,1,4,4,150118,,,,,,,,,,,,,,,,,,
2021,1,4,4,150119,,,,,,,,,,,,,,,,,,
2021,1,4,4,150120,,,,,,,,,,,,,,,,,,
2021,1,4,4,70107,,,,,,,,,,,,,,,,,,
2021,1,4,4,150122,,,,,,,,,,,,,,,,,,
2021,1,4,4,150123,,,,,,,,,,,,,,,,,,
2021,1,4,4,150124,,,,,,,,,,,,,,,,,,
2021,1,4,4,150121,,,,,,,,,,,,,,,,,,
2021,1,4,4,150125,,,,,,,,,,,,,,,,,,
2021,1,4,4,150126,,,,,,,,,,,,,,,,,,
2021,1,4,4,150127,,,,,,,,,,,,,,,,,,
2021,1,4,4,150128,,,,,,,,,,,,,,,,,,
2021,1,4,4,150129,,,,,,,,,,,,,,,,,,
2021,1,4,4,150130,,,,,,,,,,,,,,,,,,
2021,1,4,4,150131,,,,,,,,,,,,,,,,,,
2021,1,4,4,150132,,,,,,,,,,,,,,,,,,
2021,1,4,4,150133,,,,,,,,,,,,,,,,,,
2021,1,4,4,150134,,,,,,,,,,,,,,,,,,
2021,1,4,4,150135,,,,,,,,,,,,,,,,,,
2021,1,4,4,150136,,,,,,,,,,,,,,,,,,
2021,1,4,4,150137,,,,,,,,,,,,,,,,,,
2021,1,4,4,150138,,,,,,,,,,,,,,,,,,
2021,1,4,4,150139,,,,,,,,,,,,,,,,,,
2021,1,4,4,150140,,,,,,,,,,,,,,,,,,
2021,1,4,4,150141,,,,,,,,,,,,,,,,,,
2021,1,4,4,70106,,,,,,,,,,,,,,,,,,
2021,1,4,4,150142,,,,,,,,,,,,,,,,,,
2021,1,4,4,150143,,,,,,,,,,,,,,,,,,
2021,2,1,5,150102,,,,,,,,,,,,,,,,,,
2021,2,1,5,150103,1.0,1.0,3.0,3.0,1.0,0.9285714285714286,1.0,0.6428571428571429,0.07142857142857142,1.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142
2021,2,1,5,150104,,,,,,,,,,,,,,,,,,
2021,2,1,5,70102,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.06666666666666667,1.0,0.0,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,0.0,0.0
2021,2,1,5,150105,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.1428571428571428,,,,,,,,,
