Año,Provincia,Distrito,Mes,Casos
2023,LIMA,CIENEGUILLA,Junio,16.0
2023,LIMA,CIENEGUILLA,Mayo,33.0
2023,LIMA,CIENEGUILLA,Octubre,1.0
2023,LIMA,COMAS,Abril,44.0
2023,LIMA,COMAS,Agosto,49.0
2023,LIMA,COMAS,Diciembre,5.0
2023,LIMA,COMAS,Enero,1.0
2023,LIMA,COMAS,Febrero,2.0
2023,LIMA,COMAS,Julio,109.0
2023,LIMA,COMAS,Junio,284.0
2023,LIMA,COMAS,Marzo,15.0
2023,LIMA,COMAS,Mayo,333.0
2023,LIMA,COMAS,Noviembre,6.0
2023,LIMA,COMAS,Octubre,21.0
2023,LIMA,COMAS,Setiembre,41.0
2023,LIMA,EL AGUSTINO,Abril,1.0
2023,LIMA,EL AGUSTINO,Agosto,7.0
2023,LIMA,EL AGUSTINO,Diciembre,2.0
2023,LIMA,EL AGUSTINO,Julio,34.0
2023,LIMA,EL AGUSTINO,Junio,64.0
2023,LIMA,EL AGUSTINO,Marzo,1.0
2023,LIMA,EL AGUSTINO,Mayo,48.0
2023,LIMA,EL AGUSTINO,Octubre,1.0
2023,LIMA,EL AGUSTINO,Setiembre,3.0
2023,LIMA,INDEPENDENCIA,Abril,6.0
2023,LIMA,INDEPENDENCIA,Agosto,43.0
2023,LIMA,INDEPENDENCIA,Diciembre,2.0
2023,LIMA,INDEPENDENCIA,Julio,100.0
2023,LIMA,INDEPENDENCIA,Junio,143.0
2023,LIMA,INDEPENDENCIA,Mayo,111.0
2023,LIMA,INDEPENDENCIA,Noviembre,1.0
2023,LIMA,INDEPENDENCIA,Octubre,3.0
2023,LIMA,INDEPENDENCIA,Setiembre,24.0
2023,LIMA,JESUS MARIA,Abril,2.0
2023,LIMA,JESUS MARIA,Julio,10.0
2023,LIMA,JESUS MARIA,Junio,25.0
2023,LIMA,JESUS MARIA,Mayo,23.0
2023,LIMA,LA MOLINA,Abril,1.0
2023,LIMA,LA MOLINA,Agosto,4.0
2023,LIMA,LA MOLINA,Diciembre,2.0
2023,LIMA,LA MOLINA,Julio,7.0
2023,LIMA,LA MOLINA,Junio,21.0
2023,LIMA,LA MOLINA,Mayo,58.0
2023,LIMA,LA MOLINA,Setiembre,1.0
2023,LIMA,LA VICTORIA,Abril,2.0
2023,LIMA,LA VICTORIA,Agosto,6.0
2023,LIMA,LA VICTORIA,Julio,14.0
2023,LIMA,LA VICTORIA,Junio,29.0
2023,LIMA,LA VICTORIA,Mayo,24.0
2023,LIMA,LA VICTORIA,Noviembre,1.0
2023,LIMA,LA VICTORIA,Octubre,3.0
2023,LIMA,LA VICTORIA,Setiembre,5.0
2023,LIMA,LIMA,Abril,7.0
2023,LIMA,LIMA,Marzo,1.0
2023,LIMA,LIMA,Mayo,9.0
2023,LIMA,LINCE,Abril,3.0
2023,LIMA,LINCE,Diciembre,1.0
2023,LIMA,LINCE,Julio,4.0
2023,LIMA,LINCE,Junio,15.0
2023,LIMA,LINCE,Mayo,11.0
2023,LIMA,LINCE,Setiembre,3.0
2023,LIMA,LOS OLIVOS,Abril,6.0
2023,LIMA,LOS OLIVOS,Agosto,15.0
2023,LIMA,LOS OLIVOS,Diciembre,1.0
2023,LIMA,LOS OLIVOS,Julio,30.0
2023,LIMA,LOS OLIVOS,Junio,95.0
2023,LIMA,LOS OLIVOS,Marzo,1.0
2023,LIMA,LOS OLIVOS,Mayo,68.0
2023,LIMA,LOS OLIVOS,Noviembre,1.0
2023,LIMA,LOS OLIVOS,Octubre,1.0
2023,LIMA,LOS OLIVOS,Setiembre,8.0
2023,LIMA,LURIGANCHO,Abril,80.0
2023,LIMA,LURIGANCHO,Agosto,34.0
2023,LIMA,LURIGANCHO,Diciembre,17.0
2023,LIMA,LURIGANCHO,Enero,2.0
2023,LIMA,LURIGANCHO,Febrero,4.0
