Año,Semana,Ubigeo,HV201,HV205,HV213,HV214,HV215,SH49,SH227,HV270,HV225,HV237,SH48,SH50
2023,1,150117,1,1,5,2,1,3,1,4,0.08029197080291971,0.9854014598540146,1.0,0.984251968503937
2023,1,150118,1,1,5,2,1,3,1,3,0.1527777777777778,0.9861111111111112,0.984375,0.984375
2023,1,150119,2,2,5,1,2,3,2,2,0.1111111111111111,1.0,1.0,1.0
2023,1,150120,1,1,2,2,1,3,1,4,0.06666666666666667,0.9666666666666667,0.9166666666666666,0.9166666666666666
2023,1,70107,1,1,5,2,1,3,1,3,0.1756756756756757,1.0,0.9857142857142858,0.9857142857142858
2023,1,150122,1,1,4,2,1,3,0,4,0.0,1.0,1.0,1.0
2023,1,150123,1,1,5,2,1,3,3,1,0.07142857142857142,1.0,1.0,1.0
2023,1,150124,1,1,5,2,1,3,1,3,0.09955435618727917,0.9856382567890327,0.9865068778047501,0.9715258045115504
2023,1,150121,1,1,4,2,1,3,1,4,0.1363636363636364,0.9545454545454546,0.9473684210526315,0.9473684210526315
2023,1,150125,1,1,5,2,1,3,1,2,0.1166666666666667,0.9752066115702479,1.0,0.990909090909091
2023,1,150126,1,1,5,2,1,3,1,3,0.09674591919317964,0.9856382567890327,0.9865068778047501,0.9708664478717739
2023,1,150127,1,2,5,2,2,3,1,1,0.0,1.0,1.0,1.0
2023,1,150128,1,1,5,2,1,3,1,4,0.1780821917808219,0.9863013698630136,0.9701492537313433,0.9701492537313433
2023,1,150129,1,1,5,2,1,3,1,2,0.0,1.0,1.0,1.0
2023,1,150130,1,1,4,2,1,3,0,4,0.0,1.0,0.9523809523809523,0.9523809523809523
2023,1,150131,1,1,3,2,1,3,5,4,0.0,1.0,1.0,1.0
2023,1,150132,1,1,5,2,1,3,1,3,0.1095238095238095,0.9789719626168224,0.9904076738609112,0.9784172661870504
2023,1,150133,1,1,5,2,1,3,1,3,0.1097560975609756,0.9880239520958084,0.9675324675324676,0.961038961038961
2023,1,150134,1,1,4,2,1,3,1,4,0.0625,1.0,1.0,1.0
2023,1,150135,1,1,5,2,1,3,1,4,0.09782608695652174,0.9891304347826086,0.9763779527559056,0.9606299212598425
2023,1,150136,1,1,4,2,1,3,1,4,0.02631578947368421,0.9736842105263158,0.9032258064516129,0.9032258064516129
2023,1,150137,1,1,5,2,1,3,1,3,0.1626016260162602,1.0,1.0,0.9913793103448276
2023,1,150138,1,1,5,2,1,3,1,4,0.09341263162939561,0.986700797952673,0.9865068778047501,0.9627334342867472
2023,1,150139,3,2,5,1,2,3,2,1,0.2,1.0,1.0,1.0
2023,1,150140,1,1,4,2,1,3,1,4,0.04054054054054054,0.972972972972973,0.8333333333333334,0.8166666666666667
2023,1,150141,1,1,4,2,1,3,1,4,0.0,0.9444444444444444,0.75,0.75
2023,1,70106,1,1,5,2,2,3,1,2,0.06016597510373444,0.9875776397515528,0.9873949579831933,0.9852941176470589
2023,1,150142,1,1,5,2,1,3,1,3,0.09803921568627451,0.9705882352941176,0.99,0.97
